 0.81  0.59  0.50
 0.31  0.95  1.00
-0.31  0.95  1.50
-0.81  0.59  2.00
-1.00  0.00  2.50
-0.81 -0.59  3.00
-0.31 -0.95  3.50
 0.31 -0.95  4.00
 0.81 -0.59  4.50
 1.00 -0.00  5.00
 0.81  0.59  5.50
 0.31  0.95  6.00
-0.31  0.95  6.50
-0.81  0.59  7.00
-1.00  0.00  7.50
-0.81 -0.59  8.00
-0.31 -0.95  8.50
 0.31 -0.95  9.00
 0.81 -0.59  9.50
 1.00 -0.00 10.00
 0.81  0.59 10.50
 0.31  0.95 11.00
-0.31  0.95 11.50
-0.81  0.59 12.00
-1.00  0.00 12.50
-0.81 -0.59 13.00
-0.31 -0.95 13.50
 0.31 -0.95 14.00
 0.81 -0.59 14.50
 1.00 -0.00 15.00
 0.81  0.59 15.50
 0.31  0.95 16.00
